,City,Country,Longitude (Degrees),Latitude (Degrees),Maximum Temperature (F),Humidity (%),Wind Speed (MPH),Cloudiness (%)
430,Mataura,NZ,-46.19,-46.19,40.62,92,4.56,36
431,Hermanus,ZA,-34.42,-34.42,53.31,92,6.13,48
432,Arinos,BR,-15.92,-15.92,68.97,58,3.89,44
433,Punta Arenas,CL,-53.16,-53.16,33.8,74,28.86,75
434,Eyl,SO,7.98,7.98,80.4,77,23.73,0
435,Port Alfred,ZA,-33.59,-33.59,59.88,85,11.83,0
436,Koshurnikovo,RU,54.3,54.3,62.76,76,3.22,0
437,Iqaluit,CA,63.75,63.75,33.8,98,12.75,90
438,Khatanga,RU,71.98,71.98,58.35,91,20.45,100
439,Tuatapere,NZ,-46.13,-46.13,44.04,100,4.56,0
440,Mataura,NZ,-46.19,-46.19,40.62,92,4.56,36
441,Arraial do Cabo,BR,-22.97,-22.97,69.51,94,9.93,0
442,Seymchan,RU,62.93,62.93,71.4,28,6.85,20
443,Jamestown,AU,-33.21,-33.21,56.37,49,5.39,0
444,Kodiak,US,39.95,39.95,68.0,94,5.82,75
445,Tasiilaq,GL,65.61,65.61,39.2,93,3.36,92
446,Bluff,AU,-23.58,-23.58,71.85,49,11.43,0
447,Rawson,AR,-43.3,-43.3,42.42,51,7.4,44
448,Yellowknife,CA,62.45,62.45,71.6,46,9.17,75
449,Mataura,NZ,-46.19,-46.19,40.62,92,4.56,36
450,Sao Joao da Barra,BR,-21.64,-21.64,74.28,97,18.03,0
451,Ushuaia,AR,-54.81,-54.81,30.2,86,4.7,90
452,Komsomolskiy,RU,67.55,67.55,56.37,83,14.67,0
453,Vaini,IN,15.34,15.34,69.87,99,3.56,92
454,Lake Havasu City,US,34.47,34.47,105.89,11,8.05,1
455,Petropavlovsk-Kamchatskiy,RU,53.05,53.05,48.2,81,6.71,75
456,Goderich,CA,43.74,43.74,64.02,49,13.44,56
457,Rikitea,PF,-23.12,-23.12,70.41,100,10.04,92
458,Tuatapere,NZ,-46.13,-46.13,44.04,100,4.56,0
459,Tiksi,RU,71.64,71.64,54.39,72,4.0,80
460,Grand Gaube,MU,-20.01,-20.01,69.8,94,2.24,40
461,Mhlambanyatsi,SZ,-26.45,-26.45,40.44,66,2.33,0
462,Leningradskiy,RU,69.38,69.38,33.78,92,14.18,0
463,Fortuna,ES,38.18,38.18,68.0,77,4.7,0
464,Punta Arenas,CL,-53.16,-53.16,33.8,74,28.86,75
465,Luderitz,NA,-26.65,-26.65,51.96,87,11.16,0
466,Sabang,PH,13.72,13.72,83.01,97,3.56,36
467,Punta Arenas,CL,-53.16,-53.16,33.8,74,28.86,75
468,Hobart,AU,-42.88,-42.88,55.4,58,10.29,75
469,Busselton,AU,-33.64,-33.64,60.24,100,5.23,64
470,Rikitea,PF,-23.12,-23.12,70.41,100,10.04,92
471,Coquimbo,CL,-29.95,-29.95,48.2,93,5.82,0
472,Shimoda,JP,34.7,34.7,75.2,73,5.82,75
473,Ushuaia,AR,-54.81,-54.81,30.2,86,4.7,90
474,Yellowknife,CA,62.45,62.45,71.6,46,9.17,75
475,Ifanadiana,MG,-21.3,-21.3,50.79,89,2.59,0
476,Vieques,PR,18.43,18.43,79.72,83,6.93,40
477,Airai,TL,-8.93,-8.93,80.76,52,2.71,12
478,Cabra,ES,37.47,37.47,67.01,68,3.36,0
479,Albany,US,42.65,42.65,62.19,45,10.29,20
480,Yellowknife,CA,62.45,62.45,71.6,46,9.17,75
481,Riyadh,SA,24.63,24.63,82.4,15,2.24,0
482,Tasiilaq,GL,65.61,65.61,39.2,93,3.36,92
483,Hithadhoo,MV,-0.6,-0.6,82.83,100,8.75,48
484,North Bend,US,43.41,43.41,61.7,77,8.05,90
485,Yellowknife,CA,62.45,62.45,71.6,46,9.17,75
486,Port Elizabeth,US,39.31,39.31,72.27,100,5.39,1
487,Ahipara,NZ,-35.17,-35.17,55.38,94,12.06,0
488,Kumano,JP,34.34,34.34,75.78,50,3.36,75
489,Alofi,NU,-19.06,-19.06,82.4,69,8.05,40
490,Mataura,NZ,-46.19,-46.19,40.62,92,4.56,36
491,Bambous Virieux,MU,-20.34,-20.34,69.8,94,2.24,40
492,Te Anau,NZ,-45.41,-45.41,38.28,100,3.49,56
493,Lavrentiya,RU,65.58,65.58,41.34,83,20.22,92
494,Shimoda,JP,34.7,34.7,75.2,73,5.82,75
495,Khatanga,RU,71.98,71.98,58.35,91,20.45,100
496,Longyearbyen,NO,78.22,78.22,41.0,75,10.29,20
497,Angoram,PG,-4.06,-4.06,84.63,79,3.0,56
498,Vinukonda,IN,16.05,16.05,88.41,59,7.85,0
499,Petropavlovsk-Kamchatskiy,RU,53.05,53.05,48.2,81,6.71,75
500,Saskylakh,RU,71.97,71.97,66.54,66,16.46,92
501,Albany,US,42.65,42.65,62.19,45,10.29,20
502,Moyale,ET,3.52,3.52,64.11,99,4.38,92
503,Atuona,PF,-9.8,-9.8,80.67,100,15.97,0
504,Hobart,AU,-42.88,-42.88,55.4,58,10.29,75
505,Naryan-Mar,RU,67.67,67.67,41.79,77,10.16,64
506,Ribeira Grande,PT,38.52,38.52,69.6,100,8.63,92
507,Balclutha,NZ,-46.24,-46.24,39.36,93,5.84,0
508,Alofi,NU,-19.06,-19.06,82.4,69,8.05,40
509,Viedma,AR,-40.81,-40.81,35.67,60,7.29,32
510,Nikolskoye,RU,59.7,59.7,64.4,77,8.95,0
511,Bluff,AU,-23.58,-23.58,71.85,49,11.43,0
512,Kapaa,US,22.08,22.08,83.19,66,12.75,40
513,Albany,US,42.65,42.65,62.19,45,10.29,20
514,Encruzilhada,BR,-15.53,-15.53,59.16,100,2.77,88
515,Mar del Plata,AR,-46.43,-46.43,41.34,90,7.4,92
516,Husavik,CA,50.56,50.56,78.96,43,5.06,44
517,Puerto Ayora,EC,-0.74,-0.74,71.31,100,12.17,8
518,Lorengau,PG,-2.02,-2.02,84.9,98,6.02,12
519,Cabo San Lucas,MX,22.89,22.89,76.06,32,14.79,5
520,Vaini,IN,15.34,15.34,69.87,99,3.56,92
521,Northam,GB,51.04,51.04,46.4,75,4.7,0
522,Tilichiki,RU,60.47,60.47,58.62,73,4.79,8
523,Ballina,IE,54.11,54.11,40.26,100,4.38,0
524,New Norfolk,AU,-42.78,-42.78,55.4,58,10.29,75
525,Vila Franca do Campo,PT,37.72,37.72,68.0,72,5.82,75
526,Wasilla,US,61.58,61.58,62.58,68,4.7,90
527,Aklavik,CA,68.22,68.22,69.8,43,14.99,40
528,Hambantota,LK,6.12,6.12,77.97,100,13.11,76
529,Georgetown,GY,6.8,6.8,75.2,94,2.82,20
530,Montague,CA,46.17,46.17,46.4,87,3.36,5
531,Mount Gambier,AU,-37.83,-37.83,54.12,92,5.23,0
532,Kahului,US,20.89,20.89,82.81,58,21.92,20
533,Ribeira Grande,PT,38.52,38.52,69.6,100,8.63,92
534,Busselton,AU,-33.64,-33.64,60.24,100,5.23,64
535,Tasiilaq,GL,65.61,65.61,39.2,93,3.36,92
536,Ixtapa,MX,20.71,20.71,78.8,74,6.93,40
537,Ribeira Grande,PT,38.52,38.52,69.6,100,8.63,92
538,Sao Miguel do Araguaia,BR,-13.28,-13.28,65.64,86,2.77,0
539,Svetlyy Yar,RU,48.48,48.48,66.2,52,4.47,0
540,Hithadhoo,MV,-0.6,-0.6,82.83,100,8.75,48
541,Otradnoye,RU,59.77,59.77,64.4,77,8.95,0
542,Puerto Ayora,EC,-0.74,-0.74,71.31,100,12.17,8
543,Dobreni,RO,44.25,44.25,65.28,93,2.24,0
544,Kavieng,PG,-2.57,-2.57,84.99,100,4.27,8
545,Leshukonskoye,RU,64.9,64.9,55.92,85,4.5,24
546,Rikitea,PF,-23.12,-23.12,70.41,100,10.04,92
