,Nearest City Names,Countries,Longitude (Degrees),Latitude (Degrees),Maximum Temperature (F),Humidity (%),Wind Speed (MPH),Cloudiness (%)
426,Sigiriya,LK,80.85,7.81,85.44,59,16.08,24
427,Albany,AU,110.63,-85.12,-47.49,89,11.27,20
428,Floro,NO,2.41,61.94,48.2,87,34.45,56
429,Oil City,US,-79.63,41.13,68.86,77,3.36,1
430,Rikitea,PF,-116.07,-23.18,71.67,100,16.64,88
431,Mithi,PK,69.74,24.74,85.53,74,10.31,8
432,Broken Hill,AU,139.45,-30.4,58.35,55,4.38,0
433,Taolanaro,MG,66.95,-85.9,-54.15,0,8.81,20
434,Bredasdorp,ZA,20.56,-77.47,-68.19,0,15.3,20
435,Ushuaia,AR,-32.46,-89.35,-51.63,0,8.75,32
436,Holmestrand,NO,10.3,59.52,49.98,62,8.05,0
437,High Prairie,CA,-116.51,54.59,68.0,77,5.82,75
438,San Patricio,MX,-112.77,1.84,78.96,100,16.46,56
439,Xining,CN,97.57,33.54,47.19,97,3.83,56
440,Antofagasta,CL,-77.06,-22.8,64.02,100,26.15,0
441,Bandarbeyla,SO,59.03,6.5,82.11,99,25.41,8
442,Matata,NZ,177.02,-37.12,56.37,100,11.1,8
443,Ushuaia,AR,-74.86,-68.04,10.65,92,18.88,12
444,Galiwinku,AU,135.97,-12.28,79.68,90,17.09,68
445,Ushuaia,AR,-24.2,-85.88,-46.77,0,27.6,0
446,Diffa,NE,12.47,12.68,70.77,93,4.61,0
447,Ushuaia,AR,-59.65,-64.25,1.65,72,8.37,76
448,Araouane,ML,-2.92,19.43,84.72,17,6.62,32
449,Mataura,PF,-144.27,-71.78,24.51,95,34.81,92
450,Puerto Ayora,EC,-105.07,-4.8,76.35,100,18.32,80
451,Busselton,AU,99.18,-48.92,46.11,85,36.71,92
452,Amderma,RU,59.36,79.92,32.43,97,7.02,32
453,Nizhneyansk,RU,134.4,78.58,31.26,100,9.08,44
454,Feijo,BR,-70.04,-7.89,74.64,78,4.27,68
455,Bambous Virieux,MU,71.41,-31.64,65.64,100,14.34,36
456,Ayan,RU,136.61,56.53,44.49,98,3.22,92
457,Puerto Baquerizo Moreno,EC,-88.14,3.65,77.97,100,10.16,76
458,Ushuaia,AR,-57.2,-86.24,-41.28,72,28.16,0
459,East London,ZA,42.75,-58.36,30.09,100,19.15,56
460,Atuona,PF,-145.49,-6.49,80.22,100,16.64,76
461,Taolanaro,MG,50.06,-29.89,67.44,100,13.78,76
462,Fayaoue,NC,166.18,-19.94,72.75,100,13.33,8
463,Ushuaia,AR,-19.68,-79.85,-12.12,51,11.1,36
464,Svetlogorsk,RU,92.94,65.42,55.83,100,7.29,100
465,Ushuaia,AR,-46.91,-64.78,25.41,92,30.44,88
466,Castro,CL,-100.96,-44.84,49.44,96,11.95,0
467,Hilo,US,-139.26,27.52,70.14,100,16.69,32
468,Bereda,SO,51.95,12.41,80.67,91,24.63,64
469,Illoqqortoormiut,GL,-16.78,88.75,31.35,100,7.07,64
470,Kaiserslautern,DE,7.65,49.37,41.18,100,4.5,1
471,Butaritari,KI,165.07,16.3,83.64,99,10.27,8
472,Attawapiskat,CA,-87.11,69.86,34.5,91,23.96,88
473,Cape Town,ZA,-6.38,-54.41,30.72,100,23.85,80
474,Georgetown,SH,-17.4,-6.65,78.87,100,18.92,68
475,Juneau,US,-135.71,58.44,61.77,67,6.93,40
476,Cidreira,BR,-31.28,-49.38,38.73,98,27.72,12
477,Bredasdorp,ZA,23.09,-44.77,47.37,94,39.24,32
478,Belushya Guba,RU,45.61,86.84,32.25,100,18.1,32
479,Petropavlovsk-Kamchatskiy,RU,160.96,53.34,44.22,100,10.42,56
480,Taolanaro,MG,65.29,-83.57,-74.49,0,4.34,8
481,Husavik,IS,-16.34,66.63,48.72,85,10.38,92
482,Jamestown,SH,-3.85,-34.07,63.57,92,39.68,56
483,Vao,NC,165.46,-28.22,66.54,100,19.15,0
484,Belushya Guba,RU,52.56,82.17,30.09,100,4.61,76
485,Yellowknife,CA,-108.84,63.22,65.91,43,7.74,68
486,Te Anau,NZ,163.33,-41.36,53.49,100,14.34,44
487,Luderitz,NA,15.37,-27.3,48.27,99,10.42,0
488,Kodiak,US,-145.89,39.33,61.41,100,7.85,8
489,Puerto Ayora,EC,-98.43,-12.49,72.84,100,14.79,88
490,Talnakh,RU,93.54,73.36,40.89,100,21.72,68
491,Taolanaro,MG,62.79,-60.79,20.19,100,24.36,12
492,Tuatapere,NZ,162.36,-47.37,50.97,100,21.68,80
493,Mataura,PF,-142.03,-61.37,29.82,100,27.09,88
494,Kerrobert,CA,-109.46,51.79,78.8,44,6.93,40
495,Kavaratti,IN,69.62,13.04,81.84,100,19.93,68
496,Fairbanks,US,-143.9,67.42,80.94,27,12.17,76
497,Tiksi,RU,124.91,78.79,30.72,100,6.02,80
498,Puerto Ayora,EC,-109.04,-6.69,77.43,100,16.64,8
499,Hobart,AU,137.24,-73.28,-63.06,0,23.35,0
